%MatrixMarket matrix coordinate real general
%AMGX 1 1
20 20 94
0 0 1.00000000e+00
0 7 8.01075757e-01
0 12 9.91187788e-01
0 19 5.21589676e-01
1 1 1.00000000e+00
1 3 8.38405770e-01
1 6 4.37973178e-01
2 2 1.00000000e+00
2 8 7.63262775e-01
2 14 1.05068771e-01
2 17 8.49722054e-01
3 1 2.87084613e-01
3 3 1.00000000e+00
3 5 2.29602532e-01
3 9 3.29041196e-01
3 12 2.03698875e-01
3 14 8.21442194e-01
3 17 2.76345316e-01
4 4 1.00000000e+00
4 8 8.26449540e-01
4 12 8.27209085e-01
4 17 6.22323615e-01
5 3 1.67560930e-01
5 5 1.00000000e+00
5 8 5.73463589e-01
5 13 4.75785627e-01
5 16 7.00824731e-01
6 1 9.27488007e-01
6 6 1.00000000e+00
6 9 2.23461976e-01
6 15 3.54506244e-01
6 19 9.01660022e-02
7 0 1.29596976e-01
7 7 1.00000000e+00
7 13 3.99075227e-01
7 16 7.42469757e-01
8 2 5.13137568e-02
8 4 2.13660585e-01
8 5 9.36120178e-01
8 8 1.00000000e+00
9 3 5.02200615e-01
9 6 9.40336654e-01
9 9 1.00000000e+00
9 13 5.99438249e-01
9 18 8.59026950e-02
10 10 1.00000000e+00
10 17 5.88361685e-01
10 19 9.04666480e-01
11 11 1.00000000e+00
11 15 4.30069463e-01
11 16 7.57884151e-01
11 19 8.84388939e-01
12 0 2.25067882e-01
12 3 9.99329479e-01
12 4 3.97839124e-01
12 12 1.00000000e+00
12 16 3.89128764e-01
12 18 5.00498892e-01
13 5 6.83188785e-01
13 7 2.32981533e-01
13 9 3.12386342e-01
13 13 1.00000000e+00
13 16 4.29302485e-01
14 2 5.92666755e-01
14 3 3.55407151e-01
14 14 1.00000000e+00
14 16 9.56344658e-01
15 6 5.83432457e-03
15 11 4.02554392e-01
15 15 1.00000000e+00
15 16 5.72971367e-01
16 5 9.62113796e-01
16 7 9.32468676e-01
16 11 8.62057298e-01
16 12 6.75861619e-01
16 13 8.00522766e-01
16 14 8.41086330e-01
16 15 5.72239218e-01
16 16 1.00000000e+00
17 2 1.62898900e-01
17 3 4.70777095e-02
17 4 3.33668180e-01
17 10 8.29914141e-01
17 17 1.00000000e+00
17 19 4.38989667e-01
18 9 5.84523479e-01
18 12 2.48949470e-01
18 18 1.00000000e+00
19 0 3.50013919e-01
19 6 6.10307030e-01
19 10 2.90462492e-01
19 11 6.14739550e-01
19 17 9.63468466e-01
19 19 1.00000000e+00
